2019 Dec 01 01:06:20 ip-address: 10.1.20.10, status: LOGIN, Message: Attempted login failure for IP Address
2019 Dec 01 12:06:20 ip-address: 10.1.2.40, status: LOGIN, Message: Attempted login success for IP Address
2019 Dec 01 12:06:40 ip-address: 10.1.2.40, status: PASS, Message: User logged in 
2019 Dec 01 12:07:25 ip-address: 10.1.2.40, status: PASS, Message: Traffic routing success
2019 Dec 01 12:10:01 ip-address: 10.1.2.40, status: FAIL, Message: reverse mapping checking getaddrinfo for 216-19-2-8.commspeed.net [216.19.2.8] failed - POSSIBLE BREAK-IN ATTEMPT!
2019 Dec 01 17:06:20 ip-address: 10.4.3.102, status: LOGIN , Message: Attempted login success for IP Address
2019 Dec 01 17:06:20 ip-address: 10.4.3.102, status: PASS, Message: User logged in 
2019 Dec 01 17:06:20 ip-address: 10.4.3.102, status: PASS, Message: Traffic routing success
2019 Dec 05 17:06:20 ip-address: 10.4.3.102, status: PASS, Message: User logout
2019 Dec 08 08:06:20 ip-address: 10.1.20.10, status: LOGIN, Message: Attempted login failure for IP Address
2019 Dec 08 14:06:20 ip-address: 10.1.2.40, status: LOGIN, Message: Attempted login success for IP Address
2019 Dec 08 14:06:40 ip-address: 10.1.2.40, status: PASS, Message: User logged in 
2019 Dec 08 14:07:25 ip-address: 10.1.2.40, status: PASS, Message: Traffic routing success
2019 Dec 08 14:10:08 ip-address: 10.1.2.40, status: FAIL, Message: reverse mapping checking getaddrinfo for 216-19-2-8.commspeed.net [116.9.1.80] failed - POSSIBLE BREAK-IN ATTEMPT!
2019 Dec 08 07:06:20 ip-address: 10.4.3.102, status: LOGIN , Message: Attempted login success for IP Address
2019 Dec 08 07:06:20 ip-address: 10.4.3.102, status: PASS, Message: User logged in 
2019 Dec 08 07:06:20 ip-address: 10.4.3.102, status: PASS, Message: Traffic routing success
2019 Dec 10 10:08:10 ip-address: 10.4.3.102, status: PASS, Message: User logout
